return_id,order_id,return_date,reason,refund_amount
49,1184,2025-12-27,Damaged,1661.85
50,1201,2025-10-25,Wrong Item,2355.66
51,1254,2026-07-21,Late Delivery,1046.85
52,1316,2024-11-03,Late Delivery,220.73
53,1322,2025-02-08,Wrong Item,558.15
54,1340,2026-07-15,Wrong Item,7543.04
55,1356,2025-03-09,Changed Mind,2693.34
56,1454,2026-02-21,Damaged,1810.55
57,1457,2026-02-12,Changed Mind,894.48
58,1498,2024-08-14,Damaged,3036.76
59,1527,2024-04-17,Damaged,64.24
60,1547,2025-07-08,Wrong Item,2617.34
61,1559,2024-02-29,Changed Mind,1010.9
62,1578,2024-11-30,Damaged,3695.24
63,1584,2024-05-29,Late Delivery,934.17
64,1595,2024-09-21,Late Delivery,1081.41
65,1616,2025-11-21,Late Delivery,1991.01
66,1633,2024-01-16,Damaged,1410.39
67,1637,2025-12-20,Wrong Item,36.94
68,1651,2024-02-04,Damaged,2837.17
69,1681,2024-03-03,Late Delivery,3273.73
70,1738,2026-04-15,Late Delivery,2874.9
71,1757,2025-02-25,Changed Mind,555.88
72,1766,2024-09-09,Late Delivery,2815.28
73,1777,2026-02-12,Changed Mind,2266.0
74,1793,2025-09-26,Late Delivery,915.63
75,1797,2024-05-29,Changed Mind,1342.84
76,1803,2026-02-28,Wrong Item,2298.38
77,1836,2025-11-03,Wrong Item,1489.06
78,1839,2026-05-10,Damaged,589.51
79,1844,2026-04-09,Late Delivery,2561.01
80,1857,2024-12-15,Damaged,3171.94
81,1867,2024-06-03,Wrong Item,1891.49
82,1877,2026-08-10,Changed Mind,4553.65
83,1881,2025-12-26,Wrong Item,5239.68
84,1926,2026-05-11,Damaged,1324.71
85,1933,2026-04-13,Changed Mind,1820.58
86,1943,2026-07-11,Wrong Item,2750.34
87,1952,2024-08-28,Late Delivery,1063.03
88,1954,2025-05-25,Wrong Item,3059.7
89,1968,2024-11-30,Damaged,1239.54
90,1982,2025-11-07,Wrong Item,5054.65
91,2019,2024-11-06,Damaged,3691.5
92,2065,2025-09-07,Late Delivery,4056.12
93,2077,2025-05-17,Changed Mind,2007.2
94,2098,2026-02-27,Wrong Item,1002.52
95,2146,2024-10-05,Damaged,2270.49
96,2186,2026-03-23,Late Delivery,1273.57
97,2211,2026-04-13,Late Delivery,806.78
98,2225,2025-04-14,Damaged,2200.0
99,2282,2025-06-15,Changed Mind,682.96
100,2283,2025-10-07,Damaged,5508.02
101,2340,2024-09-14,Changed Mind,220.97
102,2341,2025-11-25,Wrong Item,8979.96
103,2346,2024-12-19,Late Delivery,914.8
104,2387,2025-08-29,Changed Mind,2156.51
105,2392,2024-07-07,Changed Mind,1390.95
106,2396,2024-07-19,Damaged,3768.83
107,2401,2026-05-30,Wrong Item,262.67
108,2415,2024-11-07,Wrong Item,3643.57
109,2430,2025-11-12,Wrong Item,504.21
110,2432,2024-02-18,Late Delivery,1393.49
111,2434,2025-07-13,Wrong Item,1554.03
112,2444,2024-09-10,Damaged,8403.55
113,2471,2024-02-11,Late Delivery,1901.55
114,2479,2025-03-22,Changed Mind,1451.31
115,2521,2025-12-19,Wrong Item,1793.13
116,2527,2026-09-06,Late Delivery,2026.28
117,2535,2024-03-26,Wrong Item,947.42
118,2537,2026-05-01,Changed Mind,3429.32
119,2541,2025-05-04,Wrong Item,637.36
120,2547,2024-06-29,Late Delivery,1066.26
121,2558,2026-06-26,Wrong Item,1082.61
122,2574,2025-05-22,Changed Mind,1192.47
123,2606,2024-10-10,Late Delivery,158.58
124,2621,2026-03-27,Wrong Item,1029.59
125,2680,2026-03-17,Late Delivery,496.47
126,2707,2024-07-22,Late Delivery,4764.8
127,2753,2026-01-27,Wrong Item,3637.48
128,2765,2026-02-12,Wrong Item,1763.41
129,2806,2024-06-27,Damaged,2483.66
130,2808,2026-01-31,Wrong Item,2945.47
131,2812,2026-07-11,Wrong Item,826.13
132,2872,2026-05-11,Late Delivery,50.9
133,2936,2024-12-03,Late Delivery,2346.83
134,2973,2025-12-15,Damaged,1159.03
135,2978,2025-02-01,Changed Mind,1803.1
136,3046,2026-01-08,Damaged,1325.63
137,3062,2026-02-15,Changed Mind,1411.69
138,3065,2025-02-22,Changed Mind,973.78
139,3112,2024-10-23,Late Delivery,3022.7
140,3132,2025-10-11,Late Delivery,1691.21
141,3159,2024-03-01,Late Delivery,3153.04
142,3176,2024-05-01,Wrong Item,971.65
143,3183,2025-07-05,Changed Mind,255.97
144,3198,2024-04-30,Wrong Item,1733.12
145,3203,2025-05-05,Damaged,4081.42
146,3224,2024-08-29,Damaged,2723.39
147,3228,2024-03-30,Wrong Item,5331.1
148,3236,2025-03-27,Damaged,1331.8
149,3269,2025-03-02,Changed Mind,3098.98
150,3287,2024-10-15,Damaged,341.89
151,3321,2025-02-11,Wrong Item,1222.37
152,3322,2024-10-27,Damaged,1312.15
153,3334,2024-01-26,Wrong Item,5506.78
154,3367,2024-04-02,Late Delivery,1169.32
155,3379,2024-02-24,Damaged,313.01
156,3390,2025-11-28,Changed Mind,1821.5
157,3393,2025-11-23,Damaged,584.36
158,3399,2026-09-03,Wrong Item,963.69
159,3411,2026-04-06,Damaged,2039.26
160,3416,2026-05-04,Wrong Item,884.45
161,3417,2025-03-14,Damaged,1797.88
162,3465,2026-08-14,Damaged,3413.06
163,3471,2026-09-08,Changed Mind,434.99
164,3472,2026-06-13,Wrong Item,2004.46
165,3476,2024-09-03,Wrong Item,102.82
166,3477,2025-12-10,Wrong Item,1633.19
167,3513,2025-10-21,Wrong Item,2171.21
168,3589,2024-10-13,Damaged,628.41
169,3593,2024-02-05,Late Delivery,625.76
170,3605,2025-09-14,Wrong Item,3190.37
171,3627,2025-04-15,Late Delivery,1532.95
172,3659,2025-02-16,Late Delivery,659.95
173,3671,2024-05-16,Wrong Item,653.94
174,3676,2025-07-31,Changed Mind,3829.14
175,3702,2025-03-03,Changed Mind,2878.06
176,3711,2024-11-11,Late Delivery,847.93
177,3744,2024-05-24,Wrong Item,816.88
178,3811,2025-10-13,Wrong Item,2110.59
179,3857,2024-10-19,Changed Mind,1705.11
180,3873,2024-03-15,Late Delivery,2161.92
181,3884,2026-06-18,Changed Mind,1505.32
182,3946,2025-06-11,Changed Mind,940.68
183,3956,2025-04-05,Wrong Item,311.98
184,3966,2025-12-30,Late Delivery,3797.58
185,3968,2025-03-06,Damaged,1612.91
186,3973,2024-02-29,Late Delivery,2861.32
187,3975,2025-09-27,Late Delivery,1478.89
188,4042,2026-07-21,Wrong Item,1068.18
189,4068,2024-10-11,Late Delivery,906.32
190,4076,2026-07-22,Late Delivery,1030.39
191,4132,2025-08-23,Changed Mind,2282.33
192,4155,2024-05-30,Wrong Item,964.96
193,4156,2026-08-13,Wrong Item,1937.39
194,4172,2025-12-20,Late Delivery,2318.1
195,4249,2024-09-19,Late Delivery,2065.74
196,4280,2025-04-04,Wrong Item,6162.63
197,4294,2025-05-14,Changed Mind,1607.72
198,4300,2024-02-12,Damaged,1741.88
199,4305,2025-03-17,Damaged,1082.4
200,4324,2024-07-03,Changed Mind,2464.19
201,4336,2024-07-01,Changed Mind,308.43
202,4337,2025-03-17,Late Delivery,3884.41
203,4368,2025-06-28,Changed Mind,2009.98
204,4375,2025-07-27,Changed Mind,2128.24
205,4397,2024-03-07,Damaged,1886.9
206,4426,2025-06-29,Changed Mind,878.59
207,4450,2026-07-20,Wrong Item,656.87
208,4467,2025-11-16,Wrong Item,4009.25
209,4512,2024-07-17,Wrong Item,2187.84
210,4515,2025-05-28,Wrong Item,334.81
211,4522,2026-07-13,Wrong Item,1260.46
212,4531,2025-02-25,Wrong Item,1773.85
213,4582,2024-11-26,Damaged,2349.21
214,4587,2024-06-13,Damaged,188.03
215,4590,2024-09-02,Changed Mind,1562.29
216,4607,2024-10-20,Late Delivery,1397.94
217,4615,2024-08-16,Late Delivery,1536.75
218,4639,2025-08-26,Wrong Item,844.86
219,4651,2025-12-30,Wrong Item,1532.84
220,4672,2024-12-22,Damaged,3304.34
221,4676,2026-04-14,Late Delivery,3421.8
222,4680,2025-07-12,Damaged,611.34
223,4688,2024-02-05,Changed Mind,2046.55
224,4777,2025-01-17,Damaged,1056.41
225,4786,2024-09-10,Damaged,725.33
226,4845,2026-04-29,Changed Mind,4315.13
227,4856,2024-11-27,Wrong Item,768.18
228,4876,2025-10-25,Wrong Item,4114.57
229,4924,2026-06-09,Wrong Item,2833.93
230,4985,2026-01-30,Late Delivery,1001.36
231,4990,2026-09-16,Late Delivery,3254.92
232,5029,2024-11-17,Damaged,2428.29
233,5036,2025-07-19,Damaged,4144.12
234,5038,2024-10-07,Late Delivery,353.01
235,5084,2025-01-31,Late Delivery,302.11
236,5108,2024-09-08,Wrong Item,1314.71
237,5121,2025-12-23,Changed Mind,764.51
238,5126,2025-02-04,Late Delivery,463.19
239,5130,2025-08-11,Wrong Item,5061.61
240,5152,2024-04-01,Wrong Item,4592.12
241,5161,2025-04-14,Late Delivery,219.2
242,5205,2025-01-19,Damaged,841.16
243,5243,2025-10-12,Changed Mind,2434.27
244,5259,2026-06-26,Late Delivery,344.68
245,5262,2026-06-13,Damaged,433.83
246,5344,2024-02-12,Wrong Item,921.81
247,5387,2025-03-12,Wrong Item,4585.4
248,5411,2024-10-01,Changed Mind,50.11
249,5430,2024-07-15,Damaged,371.92
250,5442,2026-03-22,Damaged,1033.59
251,5454,2024-11-29,Wrong Item,85.04
252,5468,2026-02-02,Changed Mind,116.57
253,5469,2025-01-16,Wrong Item,2044.19
254,5494,2026-07-20,Wrong Item,2272.08
255,5555,2026-01-26,Wrong Item,958.4
256,5558,2025-11-03,Damaged,1143.83
257,5608,2026-04-16,Changed Mind,2610.82
258,5649,2026-05-13,Late Delivery,2613.81
259,5732,2026-03-19,Damaged,1552.62
260,5759,2024-08-02,Wrong Item,2670.05
261,5784,2025-06-09,Wrong Item,2551.31
262,5809,2026-01-20,Changed Mind,3996.97
263,5818,2025-12-09,Changed Mind,1351.3
264,5824,2024-10-25,Wrong Item,2019.41
265,5839,2026-05-11,Changed Mind,698.74
266,5848,2026-07-23,Changed Mind,759.87
267,5857,2024-02-09,Changed Mind,4638.24
268,5912,2026-03-29,Changed Mind,3984.52
269,5922,2024-02-29,Late Delivery,3913.1
270,5925,2024-08-28,Late Delivery,692.18
271,5938,2026-06-17,Changed Mind,187.96
272,5997,2024-03-18,Wrong Item,3338.67
273,6008,2024-05-02,Damaged,170.03
274,6032,2026-02-20,Damaged,2453.85
275,6045,2024-04-08,Damaged,829.74
276,6060,2024-07-16,Wrong Item,4486.3
277,6063,2025-03-05,Changed Mind,3048.0
278,6091,2024-06-09,Late Delivery,3843.73
279,6146,2024-11-26,Changed Mind,3029.07
280,6163,2024-12-04,Late Delivery,3943.09
281,6179,2025-08-26,Damaged,576.5
282,6189,2025-02-05,Changed Mind,4588.91
283,6221,2024-12-09,Late Delivery,2702.18
284,6223,2025-08-03,Damaged,815.88
285,6241,2024-03-04,Wrong Item,413.47
286,6245,2024-01-29,Changed Mind,543.21
287,6272,2026-03-07,Damaged,3895.97
288,6335,2024-05-03,Damaged,2292.65
289,6362,2025-11-06,Damaged,2810.44
290,6415,2024-07-03,Damaged,1349.83
291,6437,2025-04-13,Late Delivery,1533.06
292,6446,2025-02-26,Changed Mind,5854.65
293,6502,2025-02-26,Changed Mind,872.63
294,6515,2025-06-22,Damaged,1339.62
295,6527,2026-04-28,Damaged,869.46
296,6531,2025-04-16,Damaged,5316.46
297,6548,2024-11-28,Wrong Item,903.23
298,6552,2024-12-02,Late Delivery,1721.4
299,6553,2024-11-11,Late Delivery,1194.2
300,6578,2025-04-06,Late Delivery,4097.2
301,6603,2024-10-04,Changed Mind,2607.45
302,6605,2025-08-03,Changed Mind,5972.49
303,6611,2024-12-07,Damaged,2400.14
304,6618,2025-12-04,Late Delivery,942.54
305,6625,2026-08-23,Changed Mind,799.42
306,6627,2024-12-12,Damaged,1200.99
307,6713,2024-02-18,Late Delivery,279.6
308,6747,2024-11-25,Wrong Item,1667.47
309,6768,2024-08-20,Damaged,5626.44
310,6773,2024-08-17,Damaged,511.51
311,6812,2026-02-06,Changed Mind,9054.46
312,6823,2024-12-04,Changed Mind,999.11
313,6844,2025-03-06,Wrong Item,2501.72
314,6886,2026-06-12,Changed Mind,1577.22
315,6890,2025-09-20,Changed Mind,6031.63
316,6893,2025-01-29,Wrong Item,2831.45
317,6914,2025-11-26,Late Delivery,165.59
318,6931,2025-05-13,Changed Mind,3117.73
319,6961,2025-07-29,Damaged,633.63
320,6978,2026-03-15,Late Delivery,3308.52
321,6981,2024-05-05,Wrong Item,1192.6
322,7039,2025-01-01,Damaged,5097.52
323,7051,2024-05-30,Damaged,2650.88
324,7059,2024-04-07,Damaged,744.46
325,7064,2025-02-17,Changed Mind,677.89
326,7071,2026-05-12,Late Delivery,146.42
327,7092,2026-08-30,Wrong Item,7179.52
328,7116,2024-11-02,Wrong Item,2441.68
329,7137,2026-08-31,Damaged,244.48
330,7139,2024-04-13,Wrong Item,2935.04
331,7140,2025-05-12,Wrong Item,3204.86
332,7160,2024-11-21,Late Delivery,6674.47
333,7167,2025-09-07,Changed Mind,153.11
334,7230,2026-07-31,Wrong Item,1681.51
335,7256,2024-12-30,Changed Mind,1204.29
336,7272,2024-05-27,Wrong Item,600.23
337,7283,2025-04-27,Damaged,2731.56
338,7290,2025-02-16,Late Delivery,795.94
339,7314,2024-09-23,Late Delivery,570.22
340,7325,2024-09-02,Late Delivery,1777.35
341,7343,2024-05-08,Late Delivery,4455.86
342,7379,2026-05-19,Damaged,304.52
343,7382,2024-03-14,Damaged,1071.67
344,7400,2024-02-21,Changed Mind,679.85
345,7403,2024-11-21,Wrong Item,3444.0
346,7414,2025-09-30,Damaged,1525.14
347,7446,2026-03-29,Damaged,767.29
348,7450,2026-06-01,Late Delivery,1377.98
349,7476,2024-07-03,Late Delivery,696.34
350,7484,2026-09-14,Damaged,6307.79
351,7500,2026-09-15,Changed Mind,3778.29
352,7507,2026-06-24,Wrong Item,1092.36
353,7522,2025-04-11,Wrong Item,101.82
354,7564,2026-09-02,Damaged,1706.28
355,7566,2026-01-21,Changed Mind,4145.33
356,7569,2025-12-02,Wrong Item,1830.99
357,7589,2025-02-04,Damaged,1565.3
358,7596,2024-02-04,Changed Mind,352.26
359,7607,2024-10-03,Changed Mind,637.99
360,7616,2024-05-17,Late Delivery,956.05
361,7620,2026-03-01,Changed Mind,434.27
362,7624,2024-07-12,Damaged,1664.11
363,7671,2024-02-15,Changed Mind,2244.29
364,7731,2025-12-04,Damaged,716.97
365,7735,2024-05-17,Wrong Item,2141.64
366,7739,2025-03-17,Wrong Item,4734.57
367,7778,2024-05-08,Wrong Item,2159.51
368,7791,2024-01-15,Damaged,1998.15
369,7817,2025-01-29,Late Delivery,5772.47
370,7845,2026-07-17,Damaged,2615.86
371,7850,2025-10-15,Damaged,3106.35
372,7865,2025-01-04,Late Delivery,1368.09
373,7876,2024-08-10,Late Delivery,4618.08
374,7878,2025-10-14,Changed Mind,298.29
375,7906,2025-05-07,Changed Mind,1887.4
376,7911,2025-04-28,Late Delivery,144.71
377,7914,2026-09-05,Damaged,2715.13
378,7924,2026-04-30,Wrong Item,33.22
379,7927,2025-06-30,Wrong Item,1156.02
380,8005,2025-11-27,Changed Mind,396.77
381,8025,2024-07-12,Changed Mind,2551.17
382,8026,2026-05-22,Changed Mind,1123.14
383,8035,2026-01-28,Changed Mind,862.79
384,8057,2024-01-04,Wrong Item,1082.73
385,8070,2024-02-04,Changed Mind,3009.83
386,8077,2025-07-29,Damaged,4189.69
387,8083,2024-02-11,Wrong Item,1689.14
388,8084,2024-01-28,Wrong Item,1032.28
389,8131,2025-01-09,Late Delivery,1569.88
390,8137,2025-03-26,Late Delivery,390.0
391,8148,2025-01-05,Changed Mind,30.86
392,8183,2025-10-03,Damaged,1907.17
393,8220,2025-07-01,Changed Mind,1722.33
394,8229,2026-01-14,Late Delivery,223.75
395,8235,2026-04-03,Wrong Item,158.57
396,8347,2024-06-12,Late Delivery,2264.65
397,8370,2024-09-10,Wrong Item,1717.37
398,8371,2025-05-19,Changed Mind,1546.9
399,8387,2025-03-03,Damaged,237.69
400,8408,2025-06-16,Changed Mind,5151.92
401,8423,2025-06-04,Changed Mind,663.72
402,8455,2025-09-24,Changed Mind,3265.51
403,8457,2024-04-13,Late Delivery,1179.87
404,8465,2024-07-31,Late Delivery,4556.12
405,8474,2025-08-26,Late Delivery,665.15
406,8536,2026-09-05,Late Delivery,3240.56
407,8540,2025-01-10,Changed Mind,2028.15
408,8541,2025-03-21,Changed Mind,5806.53
409,8551,2025-05-21,Changed Mind,619.17
410,8568,2024-09-11,Late Delivery,1553.3
411,8571,2024-03-06,Changed Mind,3122.88
412,8613,2024-12-19,Wrong Item,4042.99
413,8719,2026-03-11,Damaged,1187.81
414,8729,2024-04-19,Damaged,2896.82
415,8752,2025-03-02,Changed Mind,5222.19
416,8791,2025-07-01,Changed Mind,4324.27
417,8797,2025-03-10,Changed Mind,4956.64
418,8808,2024-07-30,Damaged,960.6
419,8810,2026-07-27,Changed Mind,1400.51
420,8815,2024-04-02,Damaged,163.16
421,8852,2026-08-11,Late Delivery,3198.83
422,8856,2025-08-01,Changed Mind,1273.31
423,8879,2025-04-19,Damaged,679.56
424,8900,2025-10-25,Changed Mind,2914.07
425,8902,2026-03-10,Wrong Item,1132.54
426,8931,2026-07-25,Damaged,1493.4
427,8944,2024-01-21,Late Delivery,2006.02
428,8966,2026-06-08,Late Delivery,1241.25
429,9044,2024-04-19,Damaged,3937.39
430,9102,2024-09-05,Damaged,1872.43
431,9109,2025-01-03,Damaged,1800.99
432,9133,2024-03-18,Wrong Item,2876.0
433,9162,2025-11-18,Late Delivery,1337.94
434,9163,2025-06-23,Damaged,1667.67
435,9179,2026-06-06,Late Delivery,1781.35
436,9182,2026-03-30,Late Delivery,883.28
437,9214,2024-09-30,Late Delivery,1862.06
438,9218,2024-11-03,Damaged,4081.0
439,9224,2024-07-06,Damaged,420.47
440,9231,2025-08-07,Late Delivery,7382.11
441,9254,2025-06-09,Wrong Item,3094.6
442,9259,2025-10-01,Changed Mind,947.84
443,9281,2026-05-12,Wrong Item,2369.28
444,9333,2024-11-22,Late Delivery,454.63
445,9340,2026-09-22,Wrong Item,1884.53
446,9376,2025-11-14,Damaged,1010.38
447,9402,2025-02-22,Damaged,1013.21
448,9444,2024-08-14,Damaged,3389.81
449,9463,2024-12-24,Late Delivery,998.2
450,9509,2024-05-10,Damaged,2253.5
451,9514,2024-04-30,Changed Mind,2671.44
452,9540,2024-11-12,Late Delivery,135.63
453,9569,2026-03-23,Late Delivery,119.53
454,9573,2024-12-04,Changed Mind,501.81
455,9579,2025-01-05,Changed Mind,1582.96
456,9591,2024-03-23,Damaged,2592.85
457,9611,2026-07-05,Damaged,315.9
458,9612,2025-03-09,Damaged,1930.72
459,9705,2024-11-17,Damaged,372.02
460,9729,2025-08-31,Damaged,1926.2
461,9740,2025-01-15,Damaged,2524.32
462,9742,2026-05-14,Changed Mind,5823.36
463,9750,2025-10-26,Wrong Item,783.58
464,9758,2024-12-19,Damaged,1565.6
465,9773,2024-11-25,Late Delivery,3717.25
466,9780,2025-05-18,Wrong Item,228.85
467,9820,2025-07-18,Changed Mind,558.68
468,9831,2025-12-23,Damaged,1132.99
469,9868,2025-01-18,Damaged,3931.95
470,9920,2024-10-08,Damaged,1617.22
471,9944,2026-03-21,Changed Mind,1178.79
472,9995,2026-04-26,Damaged,2682.48
473,9998,2025-11-29,Damaged,1782.81
474,10000,2024-05-05,Wrong Item,2061.24
475,10007,2026-01-13,Changed Mind,2401.03
476,10013,2026-03-29,Damaged,264.53
477,10031,2025-10-07,Changed Mind,190.6
478,10040,2025-08-21,Late Delivery,1690.4
479,10042,2026-06-19,Late Delivery,2888.58
480,10077,2024-09-03,Late Delivery,2261.73
481,10088,2024-05-15,Damaged,3628.07
482,10114,2024-03-02,Changed Mind,2390.07
483,10116,2026-01-27,Wrong Item,3204.06
484,10179,2024-06-06,Wrong Item,2124.94
485,10192,2025-07-03,Damaged,1750.38
486,10195,2025-10-27,Damaged,2256.15
487,10207,2025-01-23,Changed Mind,1961.05
488,10219,2026-03-11,Late Delivery,70.24
489,10232,2025-12-09,Changed Mind,491.1
490,10240,2024-08-12,Changed Mind,952.32
491,10264,2026-07-06,Wrong Item,765.45
492,10275,2024-05-14,Wrong Item,113.53
493,10339,2024-03-28,Wrong Item,4243.2
494,10373,2026-02-21,Wrong Item,1180.97
495,10415,2026-05-17,Damaged,3945.36
496,10422,2026-05-25,Damaged,618.71
497,10436,2025-06-09,Damaged,4695.07
498,10488,2025-09-02,Damaged,5452.15
499,10505,2025-02-15,Late Delivery,2296.84
500,10540,2026-08-27,Wrong Item,2365.7
501,10544,2025-01-07,Wrong Item,837.96
502,10546,2024-11-07,Changed Mind,4332.82
503,10562,2024-01-15,Damaged,5323.41
504,10679,2026-05-30,Late Delivery,2851.56
505,10681,2024-11-23,Late Delivery,1810.74
506,10682,2025-02-12,Damaged,5753.55
507,10713,2026-02-19,Wrong Item,4498.84
508,10738,2024-03-09,Damaged,3445.04
509,10739,2024-06-01,Wrong Item,1070.15
510,10740,2024-02-28,Damaged,2271.02
511,10767,2024-07-11,Changed Mind,59.4
512,10774,2024-04-14,Damaged,1391.55
513,10800,2025-01-28,Damaged,778.22
514,10806,2024-11-01,Damaged,407.4
515,10812,2026-06-26,Changed Mind,1753.16
516,10834,2025-05-20,Damaged,144.17
517,10852,2026-06-14,Wrong Item,232.22
518,10893,2025-12-30,Wrong Item,515.5
519,10923,2025-07-30,Changed Mind,4061.23
520,10964,2024-08-29,Wrong Item,812.27
521,10987,2026-04-12,Damaged,1097.27
522,10997,2025-06-15,Damaged,842.88
523,10999,2026-03-02,Wrong Item,3125.86
524,11034,2024-10-08,Changed Mind,2277.46
525,11092,2026-07-19,Wrong Item,2423.14
526,11134,2025-02-17,Wrong Item,3184.24
527,11139,2025-09-02,Late Delivery,1756.93
528,11148,2026-06-12,Late Delivery,1185.1
529,11164,2024-10-01,Wrong Item,744.02
530,11181,2025-03-07,Wrong Item,3206.81
531,11183,2024-08-03,Wrong Item,38.87
532,11227,2026-03-18,Late Delivery,4012.91
533,11240,2026-05-12,Changed Mind,6391.48
534,11260,2024-09-11,Late Delivery,2425.36
535,11275,2024-06-16,Damaged,2513.3
536,11277,2026-05-17,Changed Mind,499.54
537,11279,2024-12-03,Wrong Item,4104.88
538,11317,2025-02-12,Late Delivery,6107.9
539,11335,2024-06-11,Changed Mind,4881.73
540,11337,2025-05-29,Wrong Item,715.2
541,11339,2025-05-07,Damaged,483.52
542,11340,2025-01-07,Wrong Item,1059.63
543,11349,2025-04-16,Damaged,111.64
544,11385,2026-01-28,Late Delivery,4109.81
545,11395,2026-03-15,Damaged,1572.27
546,11396,2026-07-17,Wrong Item,5905.91
547,11401,2024-10-06,Damaged,3310.32
548,11424,2024-03-18,Late Delivery,2529.63
549,11434,2026-06-16,Wrong Item,269.54
550,11448,2024-10-20,Changed Mind,648.8
551,11454,2025-03-17,Wrong Item,1454.78
552,11527,2026-07-02,Late Delivery,891.38
553,11554,2026-05-20,Damaged,639.64
554,11591,2026-03-17,Damaged,1072.1
555,11613,2024-08-07,Damaged,5006.34
556,11643,2026-03-23,Wrong Item,2383.53
557,11655,2025-11-18,Late Delivery,1651.41
558,11659,2025-12-31,Damaged,866.12
559,11663,2025-06-05,Damaged,1159.49
560,11748,2024-06-09,Damaged,204.04
561,11753,2025-11-28,Damaged,2941.24
562,11756,2024-12-06,Damaged,5474.87
563,11769,2025-12-03,Changed Mind,509.93
564,11776,2026-08-19,Late Delivery,1928.89
565,11791,2024-08-25,Late Delivery,2527.79
566,11822,2025-11-01,Wrong Item,3989.16
567,11824,2026-06-18,Late Delivery,632.92
568,11847,2026-01-17,Damaged,600.03
569,11866,2025-11-01,Changed Mind,996.22
570,11881,2026-05-21,Late Delivery,469.42
571,11891,2024-07-18,Wrong Item,1415.98
572,11902,2025-03-04,Changed Mind,606.48
573,11926,2025-06-30,Changed Mind,484.21
574,11943,2024-08-19,Changed Mind,192.46
575,11964,2026-07-15,Damaged,1123.76
576,12041,2025-05-12,Damaged,8140.45
577,12055,2025-09-30,Damaged,1114.35
578,12065,2025-05-22,Changed Mind,3504.77
579,12081,2026-07-15,Damaged,1341.51
580,12097,2025-08-10,Changed Mind,2302.57
581,12131,2024-05-22,Changed Mind,1988.0
582,12144,2025-04-25,Damaged,849.76
583,12191,2026-06-02,Wrong Item,3459.24
584,12204,2026-05-30,Wrong Item,1271.46
585,12211,2024-12-01,Damaged,1914.13
586,12221,2026-03-07,Changed Mind,206.42
587,12230,2024-04-03,Damaged,3748.82
588,12232,2025-04-18,Late Delivery,1369.44
589,12239,2026-07-20,Late Delivery,420.77
590,12241,2026-08-19,Changed Mind,3210.8
591,12262,2024-10-31,Late Delivery,2771.09
592,12295,2024-05-13,Changed Mind,4323.71
593,12310,2025-08-02,Late Delivery,899.89
594,12314,2024-11-23,Damaged,703.93
595,12318,2025-07-03,Wrong Item,1411.62
596,12333,2024-10-06,Wrong Item,389.33
597,12334,2025-05-21,Damaged,2961.54
598,12378,2026-08-17,Changed Mind,365.96
599,12411,2025-03-17,Changed Mind,663.28
600,12418,2025-03-19,Late Delivery,1906.05
601,12420,2025-05-16,Late Delivery,1848.23
602,12422,2025-10-11,Late Delivery,1885.9
603,12464,2024-02-07,Wrong Item,2434.87
604,12474,2024-11-03,Late Delivery,1052.22
605,12483,2025-08-03,Wrong Item,1093.99
